STYLE,DESC,CATEGORY,LOT,QOH_CASES,UPC_SKU_2,PRICE_CS,PRICE_UNIT,SIZE
1000506SW1,PLUSH WHITE HAT WITH ASSORTED,Carry Over Hats,C48,0,840364200506,10.00,1.00,
1000858HT,RED PLUSH HAT,Carry Over Hats,C48,96,840364200858,10.00,1.00,
1002883RD1,RED HAT WITH GOLD POINSETTIA H,Carry Over Hats,C48,0,840364202883,10.00,1.00,
1002906RD1,DELUXE RED VELET HAT WITH SEQU,Inactive,C48,0,840364202906,10.00,1.00,
1002968GD1,WHITE FUR HAT WITH GOLD SNOWFL,Inactive,C48,0,840364202968,10.00,1.00,
1004658NT,PLUSH SEQUIN HAT,Inactive,C48,48,840364204658,10.00,1.00,
1004801RD1,RED HOLLY AND BERRY HAT,Carry Over Hats,C48,0,840364204801,10.00,1.00,
1005884ST,Santa Plush Hat,Inactive,C48,0,840364205884,10.00,1.00,
1005891SB,Santa Buckle Hat,Inactive,C48,0,840364205891,10.00,1.00,
10A-1143,Red Plush Hat,Soft Goods,C48,96,840364211434,10.00,1.00,
10A-1144,Red Plush Stocking,Soft Goods,C48,48,840364211441,10.00,1.00,
10A-1145,"48"""" Red Plush Tree Skirt",Soft Goods,C12,24,840364211458,10.00,1.00,
10A-1146,"48"""" White Fur Tree Skirt With",Soft Goods,C12,0,840364211465,10.00,1.00,
10A-1147,"48"""" Deluxe """"Merry Christmas""",Soft Goods,C12,48,840364211472,10.00,1.00,
10A-1148,Plush Santa Buckle Hat,Soft Goods,C48,96,840364211489,10.00,1.00,
10A-1149,Plush Santa Buckle Stocking,Soft Goods,C48,192,840364211496,10.00,1.00,
10A-1150,"48"""" Plush Santa Buckle Tree S",Soft Goods,C12,120,840364211502,10.00,1.00,
10A-1150-D,"48"""" Plush Santa Buckle Tree S",Soft Goods,C12,0,840364211502,10.00,1.00,
10A-1151,Deluxe Plush Naught and Nice H,Soft Goods,C48,0,840364211519,10.00,1.00,
10A-1152,"Doing My Best"""" and """"Short",Soft Goods,C48,144,840364211526,10.00,1.00,
10A-1153,Plush Pink Unicorn Hat,Soft Goods,C48,144,840364211533,10.00,1.00,
10A-1154,Deluxe Velvet Stocking with 3D,Soft Goods,C48,0,840364211540,10.00,1.00,
10A-1155,Deluxe Velvet Nutcracker Stock,Soft Goods,C48,480,840364211557,10.00,1.00,
10A-1525,"22"""" Tinsel Christmas Tree Col",Soft Goods,C12,60,840364215258,10.00,1.00,
10A-1525-D,"22"""" TINSEL CHRISTMAS TREE COL",Soft Goods,C12,0,840364215258,10.00,1.00,
10B-1156,Plush Sequin Hat,Soft Goods,C48,144,840364211564,10.00,1.00,
10B-1157,Plush Sequin Stocking,Soft Goods,C48,0,840364211571,10.00,1.00,
10B-1158,"72"""" Plush Sequin Table Runner",Soft Goods,C24,48,840364211588,10.00,1.00,
10B-1159,Plush Sequin Pillow,Soft Goods,C12,108,840364211595,10.00,1.00,
10B-1160,"48"""" Plush Sequin Tree Skirt",Soft Goods,C12,24,840364211601,10.00,1.00,
10C-1161,Plush White Hat with Assorted,Soft Goods,C48,48,840364211618,10.00,1.00,
10C-1162,Plush White Stocking with Asso,Soft Goods,C48,0,840364211625,10.00,1.00,
10C-1163,"72"""" Plush White Table Runner",Soft Goods,C24,72,840364211632,10.00,1.00,
10C-1164,Plush White Pillow with Assort,Soft Goods,C12,120,840364211649,10.00,1.00,
10C-1165,"48"""" Plush White Tree Skirt wi",Soft Goods,C12,84,840364211656,10.00,1.00,
10D-1166,Red Holly and Berry Hat,Soft Goods,C48,48,840364211663,10.00,1.00,
10D-1167,Red Holly and Berry Stocking,Soft Goods,C48,48,840364211670,10.00,1.00,
10D-1168,"72"""" Red Holly and Berry Table",Soft Goods,C24,24,840364211687,10.00,1.00,
10D-1169,Red Holly and Berry Pillow,Soft Goods,C12,48,840364211694,10.00,1.00,
10D-1170,"48"""" Red Holly and Berry Tree",Soft Goods,C12,0,840364211700,10.00,1.00,
10E-1171,Deluxe Red Velvet Hat With Sil,Soft Goods,C48,240,840364211717,10.00,1.00,
10E-1172,Deluxe Red Velvet Stocking Wit,Soft Goods,C48,48,840364211724,10.00,1.00,
10E-1173,"72"""" Deluxe Red Velvet Table R",Soft Goods,C24,0,840364211731,10.00,1.00,
10E-1174,Deluxe Red Velvet Pillow With,Soft Goods,C12,108,840364211748,10.00,1.00,
10E-1175,"48"""" Deluxe Red Velvet Tree Sk",Soft Goods,C12,48,840364211755,10.00,1.00,
10F-1181,Deluxe White Velvet Hat With S,Soft Goods,C48,96,840364211816,10.00,1.00,
10F-1182,Deluxe White Velvet Stocking W,Soft Goods,C48,0,840364211823,10.00,1.00,
10F-1183,"72"""" Deluxe White Velvet Table",Soft Goods,C24,0,840364211830,10.00,1.00,
10F-1184,Deluxe White Velvet Pillow Wit,Soft Goods,C12,120,840364211847,10.00,1.00,
10F-1185,"48"""" Deluxe White Velvet Tree",Soft Goods,C12,0,840364211854,10.00,1.00,
10G-1176,Traditional Poinsettia Printed,Soft Goods,C48,48,840364211762,10.00,1.00,
10G-1177,Traditional Poinsettia Printed,Soft Goods,C48,0,840364211779,10.00,1.00,
10G-1178,"72"""" Traditional Poinsettia Pr",Soft Goods,C24,0,840364211786,10.00,1.00,
10G-1179,Traditional Poinsettia Printed,Soft Goods,C12,12,840364211793,10.00,1.00,
10G-1180,"48"""" Traditional Poinsettia Pr",Soft Goods,C12,96,840364211809,10.00,1.00,
10H-1186,Whimsical Gingerbread Print Ha,Soft Goods,C48,0,840364211861,10.00,1.00,
10H-1187,Whimsical Gingerbread Print St,Soft Goods,C48,0,840364211878,10.00,1.00,
10H-1188,"72"""" Whimsical Gingerbread Pri",Soft Goods,C24,0,840364211885,10.00,1.00,
10H-1189,Whimsical Gingerbread Print Pi,Soft Goods,C12,0,840364211892,10.00,1.00,
10H-1190,"46"""" Whimsical Gingerbread Pri",Soft Goods,C12,0,840364211908,10.00,1.00,
10I-1191,Pink Fur Hat with Silver Snowf,Soft Goods,C48,96,840364211915,10.00,1.00,
10I-1192,Pink Fur Stocking with Silver,Soft Goods,C48,0,840364211922,10.00,1.00,
10I-1193,"72"""" Pink Fur Table Runner wit",Soft Goods,C24,24,840364211939,10.00,1.00,
10I-1194,Pink Fur Pillow with Silver Sn,Soft Goods,C12,84,840364211946,10.00,1.00,
10I-1195,"48"""" Pink Fur Tree Skirt with",Soft Goods,C12,24,840364211953,10.00,1.00,
10J-1196,Deluxe Burgundy Hat with Silve,Soft Goods,C48,0,840364211960,10.00,1.00,
10J-1197,Deluxe Burgundy Stocking with,Soft Goods,C48,0,840364211977,10.00,1.00,
10J-1198,"46"""" Deluxe Burgundy Tree Skir",Soft Goods,C12,0,840364211984,10.00,1.00,
10L-1202,Deluxe Red Velvet Santa Hat wi,Soft Goods,C48,144,840364212028,10.00,1.00,
10L-1203,Deluxe Red Velvet Santa Stocki,Soft Goods,C48,96,840364212035,10.00,1.00,
10L-1204,"46"""" Deluxe Red Velvet Santa T",Soft Goods,C12,0,840364212042,10.00,1.00,
10M-1205,Elegant White Hat with Embride,Soft Goods,C48,144,840364212059,10.00,1.00,
10M-1206,Elegant White Stocking with Em,Soft Goods,C48,192,840364212066,10.00,1.00,
10M-1207,"46"""" Elegant White Tree Skirt",Soft Goods,C12,96,840364212073,10.00,1.00,
10N-1208,Deluxe Silver Hat with Embroid,Soft Goods,C48,144,840364212080,10.00,1.00,
10N-1209,Deluxe Silver Stocking with Em,Soft Goods,C48,144,840364212097,10.00,1.00,
10N-1210,"46"""" Deluxe Silver Tree Skirt",Soft Goods,C12,0,840364212103,10.00,1.00,
10P-1054,Velour Printed Pillow Assorted,Soft Goods,C12,0,840364210543,10.00,1.00,
10Q-1199,Trellis Print Hat Red Gold/Whi,Soft Goods,C48,0,840364211991,10.00,1.00,
10Q-1200,Trellis Print Stocking Red Gol,Soft Goods,C48,0,840364212004,10.00,1.00,
10Q-1201,"46"""" Trellis Print Tree Skirt",Soft Goods,C12,0,840364212011,10.00,1.00,
1100865NT,RED PLUSH STOCKING,Carry Over Stockings,C48,48,840364200865,10.00,1.00,
1100919SW1,PLUSH WHITE STOCKING WITH ASSO,Carry Over Stockings,C48,48,840364200919,10.00,1.00,
1102982GD1,WHITE FUR STOCKING WITH GOLD S,Carry Over Stockings,C48,0,840364202982,10.00,1.00,
1103446RD1,DELUXE RED VELET STOCKING WITH,Carry Over Stockings,C48,144,840364203446,10.00,1.00,
1104672NT,PLUSH SEQUIN STOCKING,Carry Over Stockings,C48,0,840364204672,10.00,1.00,
1104825RD1,RED HOLLY AND BERRY STOCKING,Carry Over Stockings,C48,96,840364204825,10.00,1.00,
1104870RD1,RED STOCKING WITH GOLD POINSET,Carry Over Stockings,C48,384,840364204870,10.00,1.00,
1202494SW1,PLUSH WHITE TREE SKIRT WITH AS,Carry Over Tree Skirts,C12,60,840364202494,10.00,1.00,
1203279GD1,WHITE FUR TREE SKIRT WITH GOLD,Carry Over Tree Skirts,C12,60,840364203279,10.00,1.00,
1203958RD1,DELUXE RED VELET TREE SKIRT WI,Carry Over Tree Skirts,C12,0,840364203958,10.00,1.00,
1204696NT,PLUSH SEQUIN TREE SKIRT,Carry Over Tree Skirts,C12,24,840364204696,10.00,1.00,
1204849RD1,RED HOLLY AND BERRY TREE SKIRT,Inactive,C12,60,840364204849,10.00,1.00,
1204863NT,RED PLUSH TREE SKIRT,Carry Over Tree Skirts,C12,24,840364204863,10.00,1.00,
1204894RD1,RED TREE SKIRT WITH GOLD POINS,Carry Over Tree Skirts,C12,0,840364204894,10.00,1.00,
1204900NT,WHITE FUR TREE SKIRT WITH RUFF,Carry Over Tree Skirts,C12,0,840364204900,10.00,1.00,
1205907ST,"46"""" Deluxe Santa Buckle Tree",Inactive,C12,0,840364205907,10.00,1.00,
1301954SW1,PLUSH WHITE TABLE RUNNER WITH,Inactive,C24,0,840364201954,10.00,1.00,
1303392GD1,WHITE FUR TABLE RUNNER  WITH G,Carry Over Table Runners,C24,0,840364203392,10.00,1.00,
1303460RD1,DELUXE RED VELET TABLE RUNNER,Carry Over Table Runners,C24,0,840364203460,10.00,1.00,
1304689NT,PLUSH SEQUIN TABLE RUNNER,Carry Over Table Runners,C24,0,840364204689,10.00,1.00,
1304832RD1,RED HOLLY AND BERRY TABLE RUNN,Inactive,C24,0,840364204832,10.00,1.00,
1304887RD1,RED TABLE RUNNER  WITH GOLD PO,Carry Over Table Runners,C24,24,840364204887,10.00,1.00,
1405006TR,4 FT PVC TREE 252 TIPS GREEN,Carry Over Trees,C1,0,840364205006,10.00,1.00,
1405006TR-D,4 FT PVC TREE 252 TIPS GREEN,Inactive,C1,0,840364205006,10.00,1.00,
1405013TR,6 FT PVC TREE 500 TIPS GREEN,Carry Over Trees,C1,0,840364205013,10.00,1.00,
1405013TR-D,6 FT PVC TREE 500 TIPS GREEN,Inactive,C1,0,840364205013,10.00,1.00,
1405020TR,7FT PVC TREE 1000 TIPS GREEN,Carry Over Trees,C1,2,840364205020,10.00,1.00,
1405020TR-D,7FT PVC TREE 100 TIPS WHITE,Inactive,C1,0,840364205020,10.00,1.00,
1405037TR,4 FT PVC TREE 252 TIPS WHITE,Carry Over Trees,C1,6,840364205037,10.00,1.00,
1405037TR-D,4 FT PVC TREE 252 TIPS WHITE,Inactive,C1,0,840364205037,10.00,1.00,
1405044TR,6 FT PVC TREE 500 TIPS WHITE,Carry Over Trees,C1,0,840364205044,10.00,1.00,
1405044TR-D,6 FT PVC TREE 500 TIPS WHITE,Inactive,C1,0,840364205044,10.00,1.00,
1405051TR,7FT PVC TREE 1000 TIPS WHITE,Carry Over Trees,C1,2,840364205051,10.00,1.00,
1405358TR,6FT 800 TIPS Green Tree,Carry Over Trees,C1,0,840364205358,10.00,1.00,
1405365TR,6FT 800 TIPS White Tree,Carry Over Trees,C1,0,840364205365,10.00,1.00,
1405389LT,4FT Green 200 Tip Prelit Clear,Carry Over Trees,C1,0,840364205389,10.00,1.00,
1405396LT,4FT Green 200 Tip Prelit Multi,Carry Over Trees,C1,0,840364205396,10.00,1.00,
1405402LT,4FT White 200 Tip Prelit Clear,Carry Over Trees,C1,0,840364205402,10.00,1.00,
1405419LT,4FT White 200 Tip Prelit Multi,Carry Over Trees,C1,0,840364205419,10.00,1.00,
1405426LT,6FT Green 500 Tip Prelit Clear,Carry Over Trees,C1,4,840364205426,10.00,1.00,
1405433LT,6FT Green 500 Tip Prelit Multi,Carry Over Trees,C1,4,840364205433,10.00,1.00,
1405440LT,6FT White 500 Tip Prelit Clear,Carry Over Trees,C1,0,840364205440,10.00,1.00,
1405457LT,6FT White 500 Tip Prelit Multi,Carry Over Trees,C1,0,840364205457,10.00,1.00,
14A-1211,4FT Green PVC Tree with 252 Ti,Trees,C1,32,840364212110,10.00,1.00,
14A-1211-D,4FT GREEN PVC TREE WITH 252 TI,Trees,C1,0,840364212110,10.00,1.00,
14A-1212,4FT Green Pre-Lit Tree with 20,Trees,C1,4,840364212127,10.00,1.00,
14A-1212-D,4FT GREEN PRE-LIT TREE WITH 20,Trees,C1,0,840364212127,10.00,1.00,
14A-1213,4FT Green Pre-Lit Tree with 20,Trees,C1,11,840364212134,10.00,1.00,
14A-1214,6FT Green PVC Tree with 500 Ti,Trees,C1,17,840364212141,10.00,1.00,
14A-1215,6FT Green PVC Tree with 621 Ti,Trees,C1,2,840364212158,10.00,1.00,
14A-1216,6FT Green PVC Tree with 800 Ti,Trees,C1,1,840364212165,10.00,1.00,
14A-1217,6FT Green Pre-Lit Tree with 50,Trees,C1,4,840364212172,10.00,1.00,
14A-1218,6FT Green Pre-Lit Tree with 50,Trees,C1,4,840364212189,10.00,1.00,
14A-1219,"7FT White PVC Tree with 1,000",Trees,C1,0,840364212196,10.00,1.00,
14A-1220,"7FT Green PVC Tree with 1,152",Trees,C1,0,840364212202,10.00,1.00,
14A-1221,6FT Hook On Tree 748 Tips Gree,Trees,C1,5,840364212219,10.00,1.00,
14A-1221-D,6FT Hook On Tree 748 Tips Gree,Trees,C1,0,840364212219,10.00,1.00,
14A-1224,8FT Pre-Lit PE Mixed Tips Chri,Trees,C1,0,840364212240,10.00,1.00,
14A-1225,7FT Frosted Pre-Lit PE Tree wi,Trees,C1,0,840364212257,10.00,1.00,
14B-1226,4FT White PVC Tree with 252 Ti,Trees,C1,11,840364212264,10.00,1.00,
14B-1227,7FT Pre-lit Snow Flocked Tree,Trees,C1,0,840364212271,10.00,1.00,
14B-1228,6FT White PVC Tree with 621 Ti,Inactive,C1,0,840364212288,10.00,1.00,
14B-1229,"7FT Green PVC Tree with 1,000",Trees,C1,0,840364212295,10.00,1.00,
14B-1230,6FT White PVC Tree with 800 Ti,Trees,C1,6,840364212301,10.00,1.00,
14F-1222,7FT Slim Snow Flocked PE Mixed,Trees,C1,0,840364212226,10.00,1.00,
14F-1231,7FT Snow-Flocked PE Tree,Trees,C1,0,840364212318,10.00,1.00,
14N-1223,7FT Pine Needle Tree with Whit,Trees,C1,0,840364212233,10.00,1.00,
14N-1232,6FT Black Needle Tree with Sil,Trees,C1,0,840364212325,10.00,1.00,
14N-1232-D,6FT Black Needle Tree with Sil,Trees,C1,0,840364212325,10.00,1.00,
14N-1233,6FT Purple Needle Tree with Si,Trees,C1,0,840364212332,10.00,1.00,
14PK-1234,3FT Flame-Retardant Baby Pink,Trees,C1,5,840364212349,10.00,1.00,
14PK-1235,6FT Baby Pink PVC Tree with Sn,Trees,C1,10,840364212356,10.00,1.00,
14PK-1235-D,6FT Baby Pink PVC Tree with Sn,Trees,C1,0,840364212356,10.00,1.00,
14PK-1236,7FT Baby Pink Gradient PVC Tre,Inactive,C1,0,840364212363,10.00,1.00,
14TB-1237,3FT Flame-Retardant Tiffany Bl,Trees,C1,5,840364212370,10.00,1.00,
14TB-1238,7FT Tiffany Blue Gradient PVC,Inactive,C1,0,840364212387,10.00,1.00,
14TB-1239,6FT Tiffany Blue PVC Tree with,Trees,C1,16,840364212394,10.00,1.00,
15-1241,"24"""" PVC Pine Wreath with 120",Basic Pine,C12,24,840364212417,10.00,1.00,
15-1241-D,"24"""" PVC Pine Wreath with 120",Basic Pine,C12,0,840364212417,10.00,1.00,
15-1242,"24"""" Green Pine PVC Wreath wit",Basic Pine,C12,0,840364212424,10.00,1.00,
15-1243,"24"""" Green Pine PVC Wreath wit",Basic Pine,C12,0,840364212431,10.00,1.00,
15-1244,"20"""" Poinsettia Wreath",Basic Pine,C12,0,840364212448,10.00,1.00,
15-1244-D,"20"""" Poinsettia Wreath",Basic Pine,C12,0,840364212448,10.00,1.00,
1500889NT,24 INCH PINE WREATH WITH 120 T,Carry Over Pre-Deco Pine,C12,24,840364200889,10.00,1.00,
1500896NT,9FT 180 TIPS GREEN GARLAND,Carry Over Pre-Deco Pine,C12,36,840364200896,10.00,1.00,
1500902NT,9FT 180 TIPS WHITE GARLAND,Carry Over Pre-Deco Pine,C12,0,840364200902,10.00,1.00,
1505464LT,"24"""" Green Pine Wreath with Mu",Carry Over Pre-Deco Pine,C12,0,840364205464,10.00,1.00,
1505471LT,"24"""" Green Pine Wreath with Cl",Carry Over Pre-Deco Pine,C12,0,840364205471,10.00,1.00,
1505488LT,"24"""" White Pine Wreath with Cl",Carry Over Pre-Deco Pine,C12,0,840364205488,10.00,1.00,
1505495LT,"24"""" White Pine Wreath with Mu",Carry Over Pre-Deco Pine,C12,0,840364205495,10.00,1.00,
1505501LT,9FT Green Pine 180 Tips Garlan,Carry Over Pre-Deco Pine,C12,24,840364205501,10.00,1.00,
1505518LT,9FT Green Pine 180 Tips Garlan,Carry Over Pre-Deco Pine,C12,48,840364205518,10.00,1.00,
1505525LT,9FT White Pine 180 Tips Garlan,Inactive,C12,0,840364205525,10.00,1.00,
1505532LT,9FT White Pine 180 Tips Garlan,Inactive,C12,0,840364205532,10.00,1.00,
1505549RD1,"22"""" Pine Wreath With Poinsett",Inactive,C12,0,840364205549,10.00,1.00,
1505556RD1,"72"""" Pine Garland With Poinset",Carry Over Pre-Deco Pine,C12,0,840364205556,10.00,1.00,
1505563RD1,"24"""" Teadrop With Poinsettias",Carry Over Pre-Deco Pine,C24,0,840364205563,10.00,1.00,
1505570SW1,"22"""" Pine Wreath With Poinsett",Inactive,C12,0,840364205570,10.00,1.00,
1505587SW1,"72"""" Pine Garland With Poinset",Inactive,C12,0,840364205587,10.00,1.00,
1505594SW1,"24"""" Teadrop With Poinsettias",Inactive,C24,0,840364205594,10.00,1.00,
1505600GD1,"22"""" Pine Wreath With Poinsett",Inactive,C12,0,840364205600,10.00,1.00,
1505617GD1,"72"""" Pine Garland With Poinset",Inactive,C12,0,840364205617,10.00,1.00,
1505624GD1,"24"""" Teadrop With Poinsettias",Inactive,C24,0,840364205624,10.00,1.00,
1505631LP1,"22"""" Pine Wreath With Poinsett",Inactive,C12,0,840364205631,10.00,1.00,
1505648LP1,"72"""" Pine Garland With Poinset",Inactive,C12,0,840364205648,10.00,1.00,
1505655LP1,"24"""" Teadrop With Poinsettias",Carry Over Pre-Deco Pine,C24,0,840364205655,10.00,1.00,
1505662BL1,"22"""" Pine Wreath With Poinsett",Inactive,C12,0,840364205662,10.00,1.00,
1505679BL1,"72"""" Pine Garland With Poinset",Inactive,C12,0,840364205679,10.00,1.00,
1505686BL1,"24"""" Teadrop With Poinsettias",Carry Over Pre-Deco Pine,C24,0,840364205686,10.00,1.00,
15A-1245,9FT PVC Green Garland with 180,Basic Pine,C12,36,840364212455,10.00,1.00,
15A-1245-D,9FT PVC GREEN GARLAND WITH 180,Basic Pine,C12,0,840364212455,10.00,1.00,
15A-1246,9FT PVC White Garland with 180,Basic Pine,C12,0,840364212462,10.00,1.00,
15A-1247,9FT Flocked Pine Garland with,Basic Pine,C12,0,840364212479,10.00,1.00,
15B-1248,9FT Green Pine PVC Garland wit,Basic Pine,C12,0,840364212486,10.00,1.00,
15B-1248-D,9FT GREEN PINE PVC GARLAND WIT,Basic Pine,C12,0,840364212486,10.00,1.00,
15B-1249,9FT Green Pine PVC Garland wit,Basic Pine,C12,0,840364212493,10.00,1.00,
15B-1250,9FT Flocked Pine Garland with,Basic Pine,C12,0,840364212509,10.00,1.00,
1605723CL,100 Clear UL Lights Green Wire,Carry Over Lights,C12,48,840364205723,10.00,1.00,
1605730CL,100 Clear UL Lights White Wire,Carry Over Lights,C12,0,840364205730,10.00,1.00,
1605747ML,100 Multi UL Lights White Wire,Carry Over Lights,C12,36,840364205747,10.00,1.00,
1605754ML,100 Multi UL Lights Green Wire,Carry Over Lights,C12,24,840364205754,10.00,1.00,
1605761CL,140 UL Clear Musical Lights,Carry Over Lights,C12,0,840364205761,10.00,1.00,
1605778ML,140 UL Multi Musical Lights,Carry Over Lights,C12,48,840364205778,10.00,1.00,
1605785CL,60 LED C6 Lights Clear,Carry Over Lights,C24,24,840364205785,10.00,1.00,
1605792ML,60 LED C6 Lights Multi,Carry Over Lights,C24,0,840364205792,10.00,1.00,
1605808SF,50 UL LED Snowflakes Blue and,Carry Over Lights,C24,168,840364205808,10.00,1.00,
1605815TC,"10"""" UL Multi Color Tree Toppe",Carry Over Lights,C12,72,840364205815,10.00,1.00,
1605822TM,"10"""" UL Clear Tree Topper SW/G",Carry Over Lights,C12,0,840364205822,10.00,1.00,
16A-1129,100 Red UL Lights Green Wire,Light Sets,C12,0,840364211298,10.00,1.00,
16A-1130,100 Green UL Lights Green Wire,Inactive,C12,0,840364211304,10.00,1.00,
16A-1131,100 Blue UL Lights Green Wire,Inactive,C12,0,840364211311,10.00,1.00,
16A-1132,100 Pink UL Lights White Wire,Inactive,C12,0,840364211328,10.00,1.00,
16B-1133,100 Multi UL Lights Green Wire,Light Sets,C12,360,840364211335,10.00,1.00,
16B-1134,100 Clear UL Lights Green Wire,Light Sets,C12,0,840364211342,10.00,1.00,
16B-1134-D,100 Clear UL Lights Green Wire,Light Sets,C12,0,840364211342,10.00,1.00,
16B-1135,100 Multi UL Lights White Wire,Light Sets,C12,36,840364211359,10.00,1.00,
16B-1135-D,100 Multi UL Lights White Wire,Light Sets,C12,0,840364211359,10.00,1.00,
16B-1136,100 Clear UL Lights White Wire,Light Sets,C12,72,840364211366,10.00,1.00,
16C-1137,60 LED C6 Lights Clear,Inactive,C24,0,840364211373,10.00,1.00,
16C-1138,60 LED C6 Lights Multi,Light Sets,C24,0,840364211380,10.00,1.00,
16CL-1139,140-Count UL Clear Musical Lig,Light Sets,C12,48,840364211397,10.00,1.00,
16ML-1140,140-Count UL Multi Musical Lig,Light Sets,C12,48,840364211403,10.00,1.00,
16TC-1141,"10"""" UL Multi Color Tree Toppe",Light Sets,C12,0,840364211410,10.00,1.00,
16TM-1142,"10"""" UL Clear Tree Topper SW/G",Inactive,C12,0,840364211427,10.00,1.00,
1704603BL1,1PK 2PK PVC GLITTER BOW,Carry Over Bows,C72,0,840364204603,10.00,1.00,
1704603BL1-D,1PK 2PK PVC GLITTER BOW,Inactive,C72,0,840364204603,10.00,1.00,
1704610GD1,1PK 2PK PVC GLITTER BOW,Carry Over Bows,C72,360,840364204610,10.00,1.00,
1704610GD1-D,1PK 2PK PVC GLITTER BOW,Inactive,C72,0,840364204610,10.00,1.00,
1704627LP1,1PK 2PK PVC GLITTER BOW,Carry Over Bows,C72,0,840364204627,10.00,1.00,
1704627LP1-D,1PK 2PK PVC GLITTER BOW,Inactive,C72,0,840364204627,10.00,1.00,
1704634RD1,1PK 2PK PVC GLITTER BOW,Carry Over Bows,C72,72,840364204634,10.00,1.00,
1704634RD1-D,1PK 2PK PVC GLITTER BOW,Inactive,C72,0,840364204634,10.00,1.00,
1704641SW1,1PK 2PK PVC GLITTER BOW,Carry Over Bows,C72,72,840364204641,10.00,1.00,
1704641SW1-D,1PK 2PK PVC GLITTER BOW,Inactive,C72,0,840364204641,10.00,1.00,
1800933SW1,2X9 INCH GLITTER RIBBON,Carry Over Ribbon,C72,72,840364200933,10.00,1.00,
1800933SW1-D,2X9 INCH GLITTER RIBBON,Inactive,C72,0,840364200933,10.00,1.00,
1800940BL1,2X9 INCH GLITTER RIBBON,Carry Over Ribbon,C72,288,840364200940,10.00,1.00,
1800940BL1-D,2X9 INCH GLITTER RIBBON,Inactive,C72,0,840364200940,10.00,1.00,
1800957GD1,2X9 INCH GLITTER RIBBON,Inactive,C72,0,840364200957,10.00,1.00,
1800957GD1-D,2X9 INCH GLITTER RIBBON,Inactive,C72,0,840364200957,10.00,1.00,
1800964LP1,2X9 INCH GLITTER RIBBON,Carry Over Ribbon,C72,144,840364200964,10.00,1.00,
1800964LP1-D,2X9 INCH GLITTER RIBBON,Inactive,C72,0,840364200964,10.00,1.00,
1800971RD1,2X9 INCH GLITTER RIBBON,Carry Over Ribbon,C72,72,840364200971,10.00,1.00,
1800971RD1-D,2X9 INCH GLITTER RIBBON,Inactive,C72,0,840364200971,10.00,1.00,
1900803BL1,6X5 YARD MESH RIBBON ROLL,Inactive,C72,0,840364200803,10.00,1.00,
1900810GD1,6X5 YARD MESH RIBBON ROLL,Inactive,C72,72,840364200810,10.00,1.00,
1900810GD1-D,6X5 YARD MESH RIBBON ROLL,Inactive,C72,0,840364200810,10.00,1.00,
1900827LP1,6X5 YARD MESH RIBBON ROLL,Carry Over Mesh,C72,216,840364200827,10.00,1.00,
1900827LP1-D,6X5 YARD MESH RIBBON ROLL,Inactive,C72,0,840364200827,10.00,1.00,
1900834RD1,6X5 YARD MESH RIBBON ROLL,Carry Over Mesh,C72,216,840364200834,10.00,1.00,
1900834RD1-D,6X5 YARD MESH RIBBON ROLL,Inactive,C72,0,840364200834,10.00,1.00,
1900841SW1,6X5 YARD MESH RIBBON ROLL,Carry Over Mesh,C72,0,840364200841,10.00,1.00,
1906034RD1,11X 5 Yard All Mettalic Mesh,Carry Over Mesh,C40,0,840364206034,10.00,1.00,
1906034RD1-D,11X 5 Yard All Mettalic Mesh,Inactive,C40,0,840364206034,10.00,1.00,
1906041SW1,11X 5 Yard All Mettalic Mesh,Carry Over Mesh,C40,80,840364206041,10.00,1.00,
1906041SW1-D,11X 5 Yard All Mettalic Mesh,Inactive,C40,0,840364206041,10.00,1.00,
1906058GD1,11X 5 Yard All Mettalic Mesh,Carry Over Mesh,C40,0,840364206058,10.00,1.00,
1906058GD1-D,11X 5 Yard All Mettalic Mesh,Inactive,C40,0,840364206058,10.00,1.00,
1906065LP1,11X 5 Yard All Mettalic Mesh,Carry Over Mesh,C40,40,840364206065,10.00,1.00,
1906065LP1-D,11X 5 Yard All Mettalic Mesh,Inactive,C40,0,840364206065,10.00,1.00,
1906072BL1,11X 5 Yard All Mettalic Mesh,Carry Over Mesh,C40,80,840364206072,10.00,1.00,
1906072BL1-D,11X 5 Yard All Mettalic Mesh,Inactive,C40,0,840364206072,10.00,1.00,
21-1251,Plush Hot Cocoa,Plush,C12,0,840364212516,10.00,1.00,
21-1252,Plush Christmas Puppy,Plush,C12,0,840364212523,10.00,1.00,
21-1253,Plush Christmas Bear,Plush,C12,0,840364212530,10.00,1.00,
21-1254,"12"""" Mettalic Plush Ornament",Plush,C12,24,840364212547,10.00,1.00,
21-1254-D,"12"""" Mettalic Plush Ornament",Plush,C12,0,840364212547,10.00,1.00,
21-1255,"12"""" Velvet Plush Ornament",Plush,C12,0,840364212554,10.00,1.00,
21-1255-D,"12"""" Velvet Plush Ornament",Plush,C12,0,840364212554,10.00,1.00,
21-1256,"18"""" Mettalic Plush Ornament",Plush,C12,0,840364212561,10.00,1.00,
21-1256-D,"18"""" Mettalic Plush Ornament",Plush,C12,0,840364212561,10.00,1.00,
21-1257,"18"""" Velvet Plush Ornament",Plush,C12,0,840364212578,10.00,1.00,
21-1257-D,"18"""" Velvet Plush Ornament",Plush,C12,0,840364212578,10.00,1.00,
